id,reconstruct_smiles,raw_smiles,tanimoto_similarity,reconstruct_molwt,reconstruct_logp,raw_molwt,raw_logp,delta_molwt,delta_logp
11,Cc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.953929539,296.322,3.35452,312.321,3.0547,-15.999,0.29982
12,Cc1ccc(/C=N\N=c2\[nH]c(C(C)(O)O)c(-c3ccc(Cl)cc3)s2)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.979700855,387.892,3.79712,408.31,4.1421,-20.418,-0.34498
13,CC(C)N(C(=S)NCc1ccccc1)C(C)C,N[C@@H](Cc1ccccc1)C(=O)O,0.186111111,250.411,3.1799,165.192,0.641,85.219,2.5389
14,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,382.427,0.9966,645.94,8.5357,-263.513,-7.5391
15,NC(=S)N/N=C/c1cccnc1,NC(=S)N/N=C/c1ccncc1,0.553191489,180.236,0.2487,180.236,0.2487,0,2.22E-16
16,C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.594444444,372.518,6.9778,429.35,8.1616,-56.832,-1.1838
17,CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,0.343324251,411.558,3.8473,438.671,4.31872,-27.113,-0.47142
18,O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.839328537,239.234,3.1381,209.252,2.8121,29.982,0.326
19,CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,0.878378378,291.354,3.1595,248.285,3.0935,43.069,0.066
20,CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.951048951,413.234,-0.7089,441.288,0.0713,-28.054,-0.7802
21,CC1(C)COC(=S)N1,N(C(=S)NCCNCCNCCNCCN)C(C)=O,0.096638655,131.2,0.6697,290.437,-2.2755,-159.237,2.9452
22,Nc1nc(-c2ccc(O)cc2)cs1,COc1cccc(-c2cnc3ccccc3n2)c1OC,0.261704682,192.243,2.0979,266.3,3.314,-74.057,-1.2161
23,COc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(OC)cc4)cc3)cc2)cc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.692090395,420.512,6.872,429.35,8.1616,-8.838,-1.2896
24,Nc1nc2ccccc2[nH]1,ClCc1nc2ccccc2[nH]1,0.505338078,133.154,1.1451,166.611,2.3017,-33.457,-1.1566
25,[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.679452055,297.362,3.7366,217.272,0.9887,80.09,2.7479
26,C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,O=c1n(Cc2ccc(O)c3ncccc23)c2ccccc2n1Cc1ccc(O)c2ncccc12,0.829566855,331.375,3.5957,448.482,4.4072,-117.107,-0.8115
27,Clc1ccc(-n2ccnc2)cc1,Clc1cccc(-n2ccnc2)c1,0.790540541,178.622,2.5257,178.622,2.5257,-2.84E-14,-8.88E-16
28,CC(C)(C)c1ccc(CSc2nnc(Cn3cncn3)o2)cc1,Sc1nnc(Cn2cncn2)n1N=Cc1ccc(Cl)cc1,0.32371134,329.429,3.2992,319.781,1.7422,9.648,1.557
29,CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.794453507,274.32,2.9651,217.272,0.9887,57.048,1.9764
30,C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.298429319,511.36,0.0964,407.314,0.3642,104.046,-0.2678
31,Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.467697907,307.305,3.09812,243.262,2.79452,64.043,0.3036
32,O=P(O)(O)C(O)c1ccccc1,CCOP(=O)(O)C(NC)c1cccc(OC)c1,0.263823065,188.119,0.8552,259.242,2.1351,-71.123,-1.2799
33,O=C(CS)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CS,N[C@@H](Cc1ccccc1)C(=O)O,0.107438017,782.965,0.1482,165.192,0.641,617.773,-0.4928
34,NC1=CC=CC=C1C1=NC2=CC=CC=C2N1,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.80952381,209.252,2.8121,209.252,2.8121,0,0
35,Nc1ccccc1F,CCc1ccccc1N,0.214285714,111.119,1.4079,121.183,1.8312,-10.064,-0.4233
