reconstruct_smiles,raw_smiles,tanimoto_similarity,Concentration_mM,IE_abs
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,1.0,0.05870150000000118
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,1.0,0.05870150000000118
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,0.1,0.09198049999999991
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,0.01,0.18366799999999972
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,0.01,0.08066799999999974
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,0.5,0.09090399999999965
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,0.5,0.09090399999999965
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,0.05,0.06749299999999858
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,0.05,0.06749299999999858
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.388059701,0.005,0.0803240000000004
NC(=S)N/N=C/c1cccnc1,NC(=S)N/N=C/c1ccncc1,0.553191489,1.0,0.0327135833333313
NC(=S)N/N=C/c1cccnc1,NC(=S)N/N=C/c1ccncc1,0.553191489,0.5,0.02695151190476275
NC(=S)N/N=C/c1cccnc1,NC(=S)N/N=C/c1ccncc1,0.553191489,0.25,0.01950061904761846
C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.594444444,0.1,0.2026515000000011
C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.594444444,0.5,0.18157599999999852
C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.594444444,0.05,0.10103449999999958
C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.594444444,0.25,0.1579184999999983
CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,0.343324251,1.0,0.0029145000000013743
CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,0.343324251,0.1,0.014355475000000784
CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,0.343324251,0.5,0.018423083333331425
CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,0.343324251,0.05,0.03292358333333367
CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,0.343324251,0.25,0.021591733333333196
O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.839328537,1.0,0.009886059523809387
O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.839328537,0.1,0.00807549999999968
O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.839328537,0.5,0.011132369047618051
CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,0.878378378,0.1,0.0068795000000005935
CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,0.878378378,0.01,0.013257500000000255
CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,0.878378378,0.05,0.010329499999999436
CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,0.878378378,0.001,0.044373500000002064
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.951048951,1.0,0.01611949999999951
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.951048951,0.1,0.06303500000000112
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.951048951,0.5,0.01794600000000246
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.951048951,0.05,0.10400125000000032
CC1(C)COC(=S)N1,N(C(=S)NCCNCCNCCNCCN)C(C)=O,0.096638655,1.0,0.03182700000000005
CC1(C)COC(=S)N1,N(C(=S)NCCNCCNCCNCCN)C(C)=O,0.096638655,0.1,0.14967500000000156
CC1(C)COC(=S)N1,N(C(=S)NCCNCCNCCNCCN)C(C)=O,0.096638655,0.01,0.11637350000000124
Nc1nc(-c2ccc(O)cc2)cs1,COc1cccc(-c2cnc3ccccc3n2)c1OC,0.261704682,1.0,0.07549949999999994
Nc1nc(-c2ccc(O)cc2)cs1,COc1cccc(-c2cnc3ccccc3n2)c1OC,0.261704682,0.1,0.11437100000000178
Nc1nc(-c2ccc(O)cc2)cs1,COc1cccc(-c2cnc3ccccc3n2)c1OC,0.261704682,0.01,0.1180240000000008
Nc1nc(-c2ccc(O)cc2)cs1,COc1cccc(-c2cnc3ccccc3n2)c1OC,0.261704682,0.001,0.07366650000000008
COc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(OC)cc4)cc3)cc2)cc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.692090395,0.1,0.016112999999998823
COc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(OC)cc4)cc3)cc2)cc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.692090395,0.5,0.007393333333332364
COc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(OC)cc4)cc3)cc2)cc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.692090395,0.05,0.07191250000000027
COc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(OC)cc4)cc3)cc2)cc1,Clc1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(Cl)cc4)cc3)cc2)cc1,0.692090395,0.25,0.01046449999999799
Nc1nc2ccccc2[nH]1,ClCc1nc2ccccc2[nH]1,0.505338078,1.0,0.3297600000000003
Nc1nc2ccccc2[nH]1,ClCc1nc2ccccc2[nH]1,0.505338078,0.1,0.6410519999999998
Nc1nc2ccccc2[nH]1,ClCc1nc2ccccc2[nH]1,0.505338078,0.5,0.5768240000000006
Nc1nc2ccccc2[nH]1,ClCc1nc2ccccc2[nH]1,0.505338078,5.0,0.2471715000000011
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.679452055,1.0,0.07918300000000178
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.679452055,0.1,0.14494300000000238
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.679452055,0.01,0.2540195000000012
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.679452055,0.001,0.3295280000000018
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,O=c1n(Cc2ccc(O)c3ncccc23)c2ccccc2n1Cc1ccc(O)c2ncccc12,0.829566855,1.0,0.01563224999999757
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,O=c1n(Cc2ccc(O)c3ncccc23)c2ccccc2n1Cc1ccc(O)c2ncccc12,0.829566855,0.1,0.043827499999999464
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,O=c1n(Cc2ccc(O)c3ncccc23)c2ccccc2n1Cc1ccc(O)c2ncccc12,0.829566855,0.01,0.04559199999999919
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,O=c1n(Cc2ccc(O)c3ncccc23)c2ccccc2n1Cc1ccc(O)c2ncccc12,0.829566855,0.001,0.07291500000000084
Clc1ccc(-n2ccnc2)cc1,Clc1cccc(-n2ccnc2)c1,0.790540541,1.0,0.0318957380952376
Clc1ccc(-n2ccnc2)cc1,Clc1cccc(-n2ccnc2)c1,0.790540541,0.1,0.12375842658730113
Clc1ccc(-n2ccnc2)cc1,Clc1cccc(-n2ccnc2)c1,0.790540541,0.5,0.10391880158730216
Clc1ccc(-n2ccnc2)cc1,Clc1cccc(-n2ccnc2)c1,0.790540541,5.0,0.015377035714285392
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.794453507,1.0,0.06075999999999815
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.794453507,0.1,0.10803600000000024
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.794453507,0.01,0.14388450000000008
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,NCCNCc1ccc(O)c2ncccc12,0.794453507,0.001,0.18148850000000183
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.298429319,1.0,0.6290514999999968
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.298429319,2.0,0.5622364999999974
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.467697907,1.0,0.006120500000000528
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.467697907,0.1,0.007249999999999979
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.467697907,0.01,0.03536500000000009
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.467697907,0.001,0.08034999999999992
O=P(O)(O)C(O)c1ccccc1,CCOP(=O)(O)C(NC)c1cccc(OC)c1,0.263823065,1.0,0.14288166666666569
O=P(O)(O)C(O)c1ccccc1,CCOP(=O)(O)C(NC)c1cccc(OC)c1,0.263823065,0.1,0.018660833333332016
O=P(O)(O)C(O)c1ccccc1,CCOP(=O)(O)C(NC)c1cccc(OC)c1,0.263823065,0.01,0.2657060333333327
O=P(O)(O)C(O)c1ccccc1,CCOP(=O)(O)C(NC)c1cccc(OC)c1,0.263823065,0.5,0.08006349999999929
O=P(O)(O)C(O)c1ccccc1,CCOP(=O)(O)C(NC)c1cccc(OC)c1,0.263823065,0.05,0.20362924999999932
NC1=CC=CC=C1C1=NC2=CC=CC=C2N1,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.80952381,1.0,0.015300178571428735
NC1=CC=CC=C1C1=NC2=CC=CC=C2N1,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.80952381,0.1,0.07676879166666728
NC1=CC=CC=C1C1=NC2=CC=CC=C2N1,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.80952381,0.5,0.029285172619047284
