id,SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,IE,Concentration_mM,N_count,S_count,O_count,P_count,dipole_moment,HOMO,LUMO,HOMO-LUMO Gap,Ionization Potential,Electron Affinity,Electronegativity,Hardness,Softness,Electrophilicity,Electron Donor Capacity,Electron Acceptor Capacity,vdw_volume,vdw_surface_area,Category
20,CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.072108081,4.9327,780.844,1,0,24.72,22,0.9479,5,4,1,0,0,,,,,,,,,,,,,,,Schiff bases
21,CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.031007293,9.0754,977.068,4,0,43.18,29,0.9739,5,4,0,2,0,,,,,,,,,,,,,,,other
22,CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.151853163,4.4184,569.632,4,0,39.29,15,0.94,5,4,0,1,0,10.1255,-0.07275,-0.01964,0.05311,0.07275,0.01964,0.046195,0.026555,37.65769158,0.040180343,0.099652843,0.007262843,4965.353,4954.832477,Schiff bases
23,CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.046089926,6.4931,836.952,1,0,24.72,26,0.949,5,4,1,0,0,,,,,,,,,,,,,,,Schiff bases
24,CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.027115054,10.6358,1033.176,4,0,43.18,33,0.971,5,4,0,2,0,,,,,,,,,,,,,,,other
25,CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.091865486,5.9788,625.74,4,0,39.29,19,0.9565,5,4,0,1,0,9.8023,-0.11758,-0.06392,0.05366,0.11758,0.06392,0.09075,0.02683,37.27171077,0.153476752,0.257641752,0.076141752,5128.028,5135.219092,Schiff bases
26,CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.029729785,9.6139,949.168,1,0,24.72,34,0.9553,5,4,1,0,0,,,,,,,,,,,,,,,Schiff bases
27,CCCCCCn1cc[n+](C)c1.[I-],0.370191345,-1.1031,294.18,1,0,8.81,5,0.936,5,2,0,0,0,,,,,,,,,,,,,,,Imidazoles
28,CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,0.3143137,3.8473,411.558,8,4,106.68,13,0.9704,5,9,0,0,0,3.3121,-0.19612,-0.01469,0.18143,0.19612,0.01469,0.105405,0.090715,11.02353525,0.061236918,0.211999418,0.001189418,3916.577,3906.785232,other
29,CCCCn1cc[n+](C)c1.[I-],0.447019227,-1.8833,266.126,1,0,8.81,3,0.881,5,2,0,0,0,,,,,,,,,,,,,,,Imidazoles
30,CCCn1cc[n+](C)c1.[I-],0.414324009,-2.2734,252.099,1,0,8.81,2,0.839,5,2,0,0,0,,,,,,,,,,,,,,,Imidazoles
31,Clc1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,0.201523642,8.5072,511.456,4,0,35.64,7,0.94,5,4,0,0,0,,,,,,,,,,,,,3999.728,3999.550288,Benzimidazoles
32,Clc1ccc(-n2ccnc2)cc1,0.656380298,2.5257,178.622,2,0,17.82,1,0.629,5,2,0,0,0,1.9845,-0.22814,-0.03797,0.19017,0.22814,0.03797,0.133055,0.095085,10.51690593,0.093093722,0.273691222,0.007581222,1215.163,,Imidazoles
33,Clc1cccc(-n2ccnc2)c1,0.656380298,2.5257,178.622,2,0,17.82,1,0.632,5,2,0,0,0,3.5249,-0.2301,-0.03836,0.19174,0.2301,0.03836,0.13423,0.09587,10.4307917,0.093969401,0.276134401,0.007674401,1554.606,,Imidazoles
34,Clc1ccccc1-n1ccnc1,0.656380298,2.5257,178.622,2,0,17.82,1,0.586,5,2,0,0,0,4.6543,-0.22514,-0.03557,0.18957,0.22514,0.03557,0.130355,0.094785,10.55019254,0.089636683,0.267384183,0.006674183,1566.403,,Imidazoles
35,Clc1ncc[nH]1,0.521511091,1.0631,102.524,1,1,28.68,0,0.528,5,2,0,0,0,3.8367,-0.22765,0.02011,0.24776,0.22765,-0.02011,0.10377,0.12388,8.072328059,0.043462274,0.209172274,0.001632274,,,Imidazoles
36,ClCc1nc2ccccc2[nH]1,0.647495777,2.3017,166.611,1,1,28.68,1,0.839,5,2,0,0,0,1.9413,-0.22322,-0.02418,0.19904,0.22322,0.02418,0.1237,0.09952,10.04823151,0.076877462,0.250337462,0.002937462,1043.441,,Benzimidazoles
37,COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCBr)cc1OC.[Br-],0.16662546,1.9386,508.339,3,0,30.82,14,0.8337,5,2,0,2,0,,,,,,,,,,,,,3859.059,3850.81705,other
38,COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCBr)cc1OC.[Br-],0.118409317,3.499,564.447,3,0,30.82,18,0.8495,5,2,0,2,0,,,,,,,,,,,,,4294.848,4299.19692,other
39,COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCCCCCBr)cc1OC.[Br-],0.078628621,5.0594,620.555,3,0,30.82,22,0.8663,5,2,0,2,0,,,,,,,,,,,,,5373.383,5354.743823,other
40,COc1ccc(O)c(/C=N/c2ccccc2O)c1,0.814653928,2.857,243.262,4,2,62.05,3,0.95,5,1,0,3,0,3.5352,-0.20756,-0.06608,0.14148,0.20756,0.06608,0.13682,0.07074,14.13627368,0.132313489,0.304503489,0.030863489,2252.151,2249.671644,Schiff bases
41,COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccc(Br)cc3)ccc2c1,0.448260676,5.2548,425.326,3,1,50.69,5,0.95,5,2,0,2,0,3.3903,-0.20795,-0.04682,0.16113,0.20795,0.04682,0.127385,0.080565,12.41233786,0.10070712,0.26837462,0.01360462,3300.534,3291.70487,Hydrazine
42,COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccccc3)ccc2c1,0.546421752,4.4923,346.43,3,1,50.69,5,0.9,5,2,0,2,0,3.4215,-0.20251,-0.04424,0.15827,0.20251,0.04424,0.123375,0.079135,12.6366336,0.096173568,0.259116068,0.012366068,3152.798,3156.739245,Hydrazine
43,NC(=O)c1ccc(N=Cc2cccs2)cc1,0.809428438,2.5976,230.292,3,1,55.45,3,0.949,5,2,1,1,0,4.2971,-0.22728,-0.064,0.16328,0.22728,0.064,0.14564,0.08164,12.2488976,0.129905742,0.316365742,0.025085742,1719.98,1723.107355,other
44,Nc1ccc(-n2ccnc2)cc1,0.639898884,1.4545,159.192,3,1,43.84,1,0.717,5,3,0,0,0,5.4069,-0.20075,-0.01423,0.18652,0.20075,0.01423,0.10749,0.09326,10.7227107,0.061945636,0.216065636,0.001085636,1278.346,,Imidazoles
45,Nc1ccc2nc[nH]c2c1,0.529376991,1.1451,133.154,2,2,54.7,0,0.724,5,3,0,0,0,3.9931,-0.18756,-0.00533,0.18223,0.18756,0.00533,0.096445,0.091115,10.9751413,0.051043396,0.193045896,0.000155896,1176.406,,Benzimidazoles
46,Nc1nc2ccccc2[nH]1,0.565899971,1.1451,133.154,2,2,54.7,0,0.5863,5,3,0,0,0,4.4593,-0.19403,0.00715,0.20118,0.19403,-0.00715,0.09344,0.10059,9.941346058,0.043399113,0.187134113,0.000254113,1081.586,,other
47,NCc1nc2ccccc2[nH]1,0.632365415,1.0216,147.181,2,2,54.7,1,0.597,5,3,0,0,0,2.9755,-0.2148,-0.01208,0.20272,0.2148,0.01208,0.11344,0.10136,9.865824783,0.063479842,0.227599842,0.000719842,1244.901,,Benzimidazoles
48,O=C(CS)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CS,0.048569225,0.1482,782.965,19,2,172.59,44,0.5456,5,0,2,17,0,3.4567,-0.23332,-0.01511,0.21821,0.23332,0.01511,0.124215,0.109105,9.165482792,0.070708795,0.249476295,0.001046295,7090.881,7069.916178,other
49,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.403203132,2.5895,240.218,3,1,76,1,0.919,5,2,0,3,0,8.5878,-0.23123,-0.08879,0.14244,0.23123,0.08879,0.16001,0.07122,14.04099972,0.179747263,0.375367263,0.055347263,1490.554,,Quinolines
50,O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,0.347682744,2.6089,236.614,4,0,73.1,2,0.89,5,2,0,3,0,2.488,-0.26923,-0.12055,0.14868,0.26923,0.12055,0.19489,0.07434,13.45170837,0.255462148,0.487522148,0.097742148,1654.868,1651.889302,other
51,O=Cc1cc2cc(Cl)cc([N+](=O)[O-])c2nc1Cl,0.363401348,3.2623,271.059,4,0,73.1,2,0.87,5,2,0,3,0,,,,,,,,,,,,,1814.949,1818.175254,other
52,O=Cc1cc2cc(Cl)ccc2nc1Cl,0.550780817,3.3541,226.062,2,0,29.96,1,0.96,5,1,0,1,0,,,,,,,,,,,,,1477.302,1472.500755,other
53,O=Cc1ccc(-n2ccnc2)cc1,0.645836573,1.6848,172.187,3,0,34.89,2,0.804,5,2,0,1,0,0.6731,-0.23483,-0.07597,0.15886,0.23483,0.07597,0.1554,0.07943,12.58970162,0.152015359,0.347130359,0.036330359,1628.613,,Imidazoles
54,Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-],0.632994974,-0.8977,230.094,1,1,34.37,1,0.9,5,1,0,1,0,,,,,,,,,,,,,1326.193,1323.680292,Quinolines
55,Oc1ccc(-n2ccnc2)cc1,0.687292653,1.5779,160.176,3,1,38.05,1,0.887,5,2,0,1,0,3.7471,-0.21383,-0.02147,0.19236,0.21383,0.02147,0.11765,0.09618,10.39717197,0.071956345,0.237696345,0.002396345,1187.844,,Imidazoles
56,Oc1ccccc1/C=N/c1ccccc1O,0.753464549,2.8484,213.236,3,2,52.82,2,0.93,5,1,0,2,0,1.617,-0.19998,-0.04152,0.15846,0.19998,0.04152,0.12075,0.07923,12.62148176,0.092014152,0.252379152,0.010879152,1608.968,,Schiff bases
57,Oc1ccccc1CNCCNCc1ccccc1O,0.581985719,1.9772,272.348,4,4,64.52,7,0.94,5,2,0,2,0,4.8859,-0.20328,-0.00408,0.1992,0.20328,0.00408,0.10368,0.0996,10.04016064,0.053963566,0.207443566,8.36E-05,2851.208,2849.929296,other
58,OCc1ccc2[nH]cnc2c1,0.634750821,1.0552,148.165,2,2,48.91,1,0.734,5,2,0,1,0,4.7953,-0.228,-0.02267,0.20533,0.228,0.02267,0.125335,0.102665,9.740417864,0.076505441,0.253172941,0.002502941,1339.804,,other
59,Sc1nc(/N=C/c2ccco2)n[nH]1,0.56111443,1.437,194.219,5,2,67.07,2,0.9,5,4,1,1,0,1.5423,-0.20873,-0.05747,0.15126,0.20873,0.05747,0.1331,0.07563,13.2222663,0.117120257,0.288035257,0.021835257,1513.459,1517.877126,Triazole
60,Sc1nc(/N=C/c2cccs2)n[nH]1,0.587323849,1.9055,210.287,5,2,53.93,2,0.93,5,4,2,0,0,1.61,-0.21281,-0.06159,0.15122,0.21281,0.06159,0.1372,0.07561,13.22576379,0.124479831,0.299484831,0.025084831,1301.623,1297.918548,Triazole
61,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.442907235,1.14742,472.553,10,1,116.86,4,0.94,5,8,0,2,0,4.6728,-0.20229,-0.06523,0.13706,0.20229,0.06523,0.13376,0.06853,14.59214942,0.130539454,0.298564454,0.031044454,4221.401,4215.456084,other
62,NC1=CC=CC=C1C1=NC2=CC=CC=C2N1,0.605331363,2.8121,209.252,2,2,54.7,1,0.97,5,3,0,0,0,4.6676,-0.20385,-0.03907,0.16478,0.20385,0.03907,0.12146,0.08239,12.13739531,0.089528654,0.252183654,0.009263654,1917.917,,other
63,Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,0.658777772,2.15392,239.278,3,1,54.35,3,0.966,4,3,0,1,0,3.6929,-0.21764,-0.0596,0.15804,0.21764,0.0596,0.13862,0.07902,12.65502404,0.121586335,0.299716335,0.022476335,1934.739,,Schiff bases
64,O=C(N/N=C/c1ccc(O)cc1)c1cccnc1,0.632070638,1.5511,241.25,4,2,74.58,3,0.928,4,3,0,2,0,3.0419,-0.2105,-0.05779,0.15271,0.2105,0.05779,0.134145,0.076355,13.09671927,0.117836953,0.290159453,0.021869453,2250.492,,Schiff bases
65,O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,0.108159152,-0.3084,492.232,6,8,236.6,15,0.8187,4,2,0,12,4,5.8845,-0.2398,0.01286,0.25266,0.2398,-0.01286,0.11347,0.12633,7.915776142,0.050959554,0.227594554,0.000654554,3603.061,3617.057187,Phosphonate esters
66,CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,0.3143137,3.8473,411.558,8,4,106.68,13,0.9702,3,9,0,0,0,3.3121,-0.19612,-0.01469,0.18143,0.19612,0.01469,0.105405,0.090715,11.02353525,0.061236918,0.211999418,0.001189418,3916.577,3906.785232,other
67,CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,0.677909483,3.4236,292.433,6,1,41.38,5,0.989,3,4,2,0,0,6.7383,-0.2012,-0.05202,0.14918,0.2012,0.05202,0.12661,0.07459,13.40662287,0.1074547,0.2713597,0.0181397,2017.009,2018.563561,other
68,NC(=S)N/N=C(\\c1ccco1)C(O)c1ccco1,0.435602071,1.1435,265.294,5,3,96.92,4,0.898,3,3,1,3,0,4.7695,-0.20821,-0.06889,0.13932,0.20821,0.06889,0.13855,0.06966,14.35544071,0.137784256,0.311164256,0.034064256,2099.116,2097.8156,other
69,Nc1nc2ccccc2[nH]1,0.565899971,1.1451,133.154,2,2,54.7,0,0.563,3,3,0,0,0,4.4593,-0.19403,0.00715,0.20118,0.19403,-0.00715,0.09344,0.10059,9.941346058,0.043399113,0.187134113,0.000254113,1081.586,,other
70,Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.774127202,3.15682,227.263,3,2,52.82,2,0.91,2.5,1,0,2,0,3.2094,-0.21433,-0.06583,0.1485,0.21433,0.06583,0.14008,0.07425,13.46801347,0.132137417,0.309342417,0.029182417,1742.295,1739.34992,Schiff bases
71,CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.039295846,7.515,920.96,4,0,43.18,25,0.9559,2.5,4,0,2,0,,,,,,,,,,,,,,,other
72,CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.031007293,9.0754,977.068,4,0,43.18,29,0.9681,2.5,4,0,2,0,,,,,,,,,,,,,,,other
73,CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.027115054,10.6358,1033.176,4,0,43.18,33,0.8291,2.5,4,0,2,0,,,,,,,,,,,,,,,other
74,COc1ccc(O)c(/C=N/c2ccccc2O)c1,0.814653928,2.857,243.262,4,2,62.05,3,0.93,2.5,1,0,3,0,3.5352,-0.20756,-0.06608,0.14148,0.20756,0.06608,0.13682,0.07074,14.13627368,0.132313489,0.304503489,0.030863489,2252.151,2249.671644,Schiff bases
75,Oc1ccccc1/C=N/c1ccccc1O,0.753464549,2.8484,213.236,3,2,52.82,2,0.89,2.5,1,0,2,0,1.617,-0.19998,-0.04152,0.15846,0.19998,0.04152,0.12075,0.07923,12.62148176,0.092014152,0.252379152,0.010879152,1608.968,,Schiff bases
76,Oc1ccccc1CNCCNCc1ccccc1O,0.581985719,1.9772,272.348,4,4,64.52,7,0.87,2.5,2,0,2,0,4.8859,-0.20328,-0.00408,0.1992,0.20328,0.00408,0.10368,0.0996,10.04016064,0.053963566,0.207443566,8.36E-05,2851.208,2849.929296,other
77,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.442907235,1.14742,472.553,10,1,116.86,4,0.9,2.5,8,0,2,0,4.6728,-0.20229,-0.06523,0.13706,0.20229,0.06523,0.13376,0.06853,14.59214942,0.130539454,0.298564454,0.031044454,4221.401,4215.456084,other
78,c1ccc2[nH]c(-c3ccncc3)nc2c1,0.648091739,2.6249,195.225,2,1,41.57,1,0.821,2,3,0,0,0,3.4419,-0.22387,-0.06198,0.16189,0.22387,0.06198,0.142925,0.080945,12.35406758,0.126181701,0.309579201,0.023729201,1698.834,,Benzimidazoles
79,c1ccc2[nH]c(CN(Cc3nc4ccccc4[nH]3)Cc3nc4ccccc4[nH]3)nc2c1,0.378728031,4.5179,407.481,4,3,89.28,6,0.92,2,7,0,0,0,2.3763,-0.21031,-0.02826,0.18205,0.21031,0.02826,0.119285,0.091025,10.98599286,0.078159359,0.242956859,0.004386859,3638.658,3645.935483,Benzimidazoles
80,c1ccc2[nH]c(CNCc3nc4ccccc4[nH]3)nc2c1,0.53696154,2.729,277.331,3,3,69.39,4,0.918,2,5,0,0,0,5.2843,-0.20983,-0.02177,0.18806,0.20983,0.02177,0.1158,0.09403,10.63490375,0.071305115,0.234120115,0.002520115,2179.997,2174.257344,Benzimidazoles
81,CC1(C)COC(=S)N1,0.488145587,0.6697,131.2,2,1,21.26,0,0.847,2,1,1,1,0,6.448,-0.208,-0.01023,0.19777,0.208,0.01023,0.109115,0.098885,10.11275724,0.060201665,0.218759165,0.000529165,,,other
82,Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,0.658777772,2.15392,239.278,3,1,54.35,3,0.902,2,3,0,1,0,3.6929,-0.21764,-0.0596,0.15804,0.21764,0.0596,0.13862,0.07902,12.65502404,0.121586335,0.299716335,0.022476335,1934.739,,Schiff bases
83,Cc1ccccc1/C=N/c1ccccc1Sc1ccccc1,0.54677041,5.89682,303.43,2,0,12.36,4,0.875,2,1,1,0,0,2.3494,-0.20375,-0.05029,0.15346,0.20375,0.05029,0.12702,0.07673,13.03271211,0.105135412,0.270520412,0.016480412,2989.991,2982.949776,other
84,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,0.405536783,3.6718,461.01,7,1,81.65,8,0.863,2,6,0,1,0,16.4142,-0.1841,-0.07705,0.10705,0.1841,0.07705,0.130575,0.053525,18.68285848,0.159269786,0.316607286,0.055457286,3499.574,3501.095341,Imidazoles
85,CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,0.677909483,3.4236,292.433,6,1,41.38,5,0.985,2,4,2,0,0,6.7383,-0.2012,-0.05202,0.14918,0.2012,0.05202,0.12661,0.07459,13.40662287,0.1074547,0.2713597,0.0181397,2017.009,2018.563561,other
86,CN(C)c1ccc(/C=N/c2ccccc2S)cc1,0.652198006,3.7919,256.374,3,1,15.6,3,0.786,2,2,1,0,0,5.6209,-0.19975,-0.04405,0.1557,0.19975,0.04405,0.1219,0.07785,12.84521516,0.095437444,0.256262444,0.012462444,2655.99,2650.498578,Schiff bases
87,Cn1cc[n+](CCO)c1.F[P-](F)(F)(F)(F)F,0.500310465,2.6873,272.129,2,1,29.04,2,0.5887,2,2,0,1,1,8.5947,-0.08279,-0.02478,0.05801,0.08279,0.02478,0.053785,0.029005,34.47681434,0.049867716,0.118155216,0.010585216,1132.942,,Imidazoles
88,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.572529309,0.3642,407.314,6,1,111.42,4,0.2801,2,3,2,5,0,,,,,,,,,,,,,,,other
89,NC(=S)N/N=C(\\c1ccco1)C(O)c1ccco1,0.435602071,1.1435,265.294,5,3,96.92,4,0.968,2,3,1,3,0,4.7695,-0.20821,-0.06889,0.13932,0.20821,0.06889,0.13855,0.06966,14.35544071,0.137784256,0.311164256,0.034064256,2099.116,2097.8156,other
90,Nc1nc(-c2ccc(O)cc2)c(Sc2sc(N)nc2-c2ccc(O)cc2)s1,0.383365286,4.6604,414.537,9,4,118.28,4,0.891,2,4,3,2,0,2.8151,-0.18018,-0.01673,0.16345,0.18018,0.01673,0.098455,0.081725,12.23615785,0.059304907,0.198622407,0.001712407,3311.614,3310.583318,Thiazoles
91,Nc1nc(-c2ccc(O)cc2)cs1,0.726982773,2.0979,192.243,4,2,59.14,1,0.909,2,2,1,1,0,2.2132,-0.18753,-0.01588,0.17165,0.18753,0.01588,0.101705,0.085825,11.65161666,0.06026162,0.20487912,0.00146912,1281.126,,other
